Id,CAD=X,len,datetime,open,high,low,close,volume,openinterest,adjclose,TestStrategy,len,datetime,MovingAverageSimple,len,sma,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus
54,CAD=X,54,2007-10-05 23:59:59.999989,1.0,1.0,0.98,0.98,0.0,0.0,0.9817,TestStrategy,54,732954.9999999999,MovingAverageSimple,54,1.0013333333333334,Broker,54,999.6999999999999,999.6999999999999,BuySell,54,,,Trades - Net Profit/Loss,54,,
55,CAD=X,55,2007-10-08 23:59:59.999989,0.98,0.99,0.98,0.99,0.0,0.0,0.9865,TestStrategy,55,732957.9999999999,MovingAverageSimple,55,0.9986666666666667,Broker,55,999.6999999999999,999.6999999999999,BuySell,55,,,Trades - Net Profit/Loss,55,,
56,CAD=X,56,2007-10-09 23:59:59.999989,0.99,0.99,0.98,0.98,0.0,0.0,0.9825,TestStrategy,56,732958.9999999999,MovingAverageSimple,56,0.9966666666666666,Broker,56,999.6999999999999,999.6999999999999,BuySell,56,,,Trades - Net Profit/Loss,56,,
57,CAD=X,57,2007-10-10 23:59:59.999989,0.98,0.98,0.98,0.98,0.0,0.0,0.9814,TestStrategy,57,732959.9999999999,MovingAverageSimple,57,0.9946666666666667,Broker,57,999.6999999999999,999.6999999999999,BuySell,57,,,Trades - Net Profit/Loss,57,,
58,CAD=X,58,2007-10-11 23:59:59.999989,0.98,0.98,0.97,0.98,0.0,0.0,0.9759,TestStrategy,58,732960.9999999999,MovingAverageSimple,58,0.9933333333333334,Broker,58,999.6999999999999,999.6999999999999,BuySell,58,,,Trades - Net Profit/Loss,58,,
59,CAD=X,59,2007-10-12 23:59:59.999989,0.98,0.98,0.97,0.97,0.0,0.0,0.9734,TestStrategy,59,732961.9999999999,MovingAverageSimple,59,0.9913333333333333,Broker,59,999.6999999999999,999.6999999999999,BuySell,59,,,Trades - Net Profit/Loss,59,,
60,CAD=X,60,2007-10-15 23:59:59.999989,0.97,0.98,0.97,0.98,0.0,0.0,0.9753,TestStrategy,60,732964.9999999999,MovingAverageSimple,60,0.99,Broker,60,999.6999999999999,999.6999999999999,BuySell,60,,,Trades - Net Profit/Loss,60,,
61,CAD=X,61,2007-10-16 23:59:59.999989,0.98,0.98,0.97,0.98,0.0,0.0,0.979,TestStrategy,61,732965.9999999999,MovingAverageSimple,61,0.9886666666666667,Broker,61,999.6999999999999,999.6999999999999,BuySell,61,,,Trades - Net Profit/Loss,61,,
62,CAD=X,62,2007-10-17 23:59:59.999989,0.98,0.98,0.97,0.97,0.0,0.0,0.9743,TestStrategy,62,732966.9999999999,MovingAverageSimple,62,0.9866666666666667,Broker,62,999.6999999999999,999.6999999999999,BuySell,62,,,Trades - Net Profit/Loss,62,,
63,CAD=X,63,2007-10-18 23:59:59.999989,0.97,0.98,0.97,0.97,0.0,0.0,0.974,TestStrategy,63,732967.9999999999,MovingAverageSimple,63,0.9846666666666667,Broker,63,999.6999999999999,999.6999999999999,BuySell,63,,,Trades - Net Profit/Loss,63,,
